DOBEC;OBEC;OKRES;PSC;DPOSTA;POSTA;KOD_OKR;KRAJ;;;;;;;;;;;;;;;;;;;;;;;
Gaboltov;Gaboltov;Bardejov;086 02;Gaboltov;Gaboltov;701;PV;;;;;;;;;;;;;;;;;;;;;;;
Gajary;Gajary;Malacky;900 61;Gajary;Gajary;106;BL;;;;;;;;;;;;;;;;;;;;;;;
Galanta;Galanta;Galanta;;;Pozri zoz.ulíc s PSÈ;202;TA;;;;;;;;;;;;;;;;;;;;;;;
Galovany;Galovany;Liptovskı Mikuláš;032 11;Svätı Krí;Svätı Krí;505;ZI;;;;;;;;;;;;;;;;;;;;;;;
Gáò;Gáò;Galanta;924 01;Galanta 1;Galanta 1;202;TA;;;;;;;;;;;;;;;;;;;;;;;
Gánovce;Gánovce;Poprad;058 01;Poprad 1;Poprad 1;706;PV;;;;;;;;;;;;;;;;;;;;;;;
Gaškovce;Gaškovce;Púchov;020 53;Lúky;Lúky;308;TC;;;;;;;;;;;;;;;;;;;;;;;
Gbe¾any;Gbe¾any;ilina;013 02;Gbe¾any pri iline;Gbe¾any pri iline;511;ZI;;;;;;;;;;;;;;;;;;;;;;;
Gbelce;Gbelce;Nové Zámky;943 42;Gbelce;Gbelce;404;NI;;;;;;;;;;;;;;;;;;;;;;;
Gbely;Gbely;Skalica;908 45;Gbely;Gbely;206;TA;;;;;;;;;;;;;;;;;;;;;;;
Gbely - Cunín;Cunín;Skalica;908 48;Kopèany;Kopèany;206;TA;;;;;;;;;;;;;;;;;;;;;;;
Geèa;Geèa;Košice - okolie;;;viï detail SÈ;806;KI;;;;;;;;;;;;;;;;;;;;;;;
Gelnica;Gelnica;Gelnica;056 01;Gelnica;Gelnica;801;KI;;;;;;;;;;;;;;;;;;;;;;;
Gemer;Gemer;Revúca;982 01;Torna¾a;Torna¾a;608;BC;;;;;;;;;;;;;;;;;;;;;;;
Gemerèek;Gemerèek;Rimavská Sobota;980 31;Hodejov;Hodejov;609;BC;;;;;;;;;;;;;;;;;;;;;;;
Gemerská Hôrka;Gemerská Hôrka;Roòava;049 12;Gemerská Hôrka;Gemerská Hôrka;808;KI;;;;;;;;;;;;;;;;;;;;;;;
Gemerská Panica;Gemerská Panica;Roòava;980 46;Gemerská Panica;Gemerská Panica;808;KI;;;;;;;;;;;;;;;;;;;;;;;
Gemerská Poloma;Gemerská Poloma;Roòava;049 22;Gemerská Poloma;Gemerská Poloma;808;KI;;;;;;;;;;;;;;;;;;;;;;;
Gemerská Ves;Gemerská Ves;Revúca;982 62;Gemerská Ves;Gemerská Ves;608;BC;;;;;;;;;;;;;;;;;;;;;;;
Gemerské Dechtáre;Gemerské Dechtáre;Rimavská Sobota;980 04;Hostice;Hostice;609;BC;;;;;;;;;;;;;;;;;;;;;;;
Gemerské Michalovce;Gemerské Michalovce;Rimavská Sobota;982 52;Niná Kaloša;Niná Kaloša;609;BC;;;;;;;;;;;;;;;;;;;;;;;
Gemerské Teplice;Gemerské Teplice;Revúca;049 16;Jelšava;Jelšava;608;BC;;;;;;;;;;;;;;;;;;;;;;;
Gemerskı Jablonec;Gemerskı Jablonec;Rimavská Sobota;980 35;Gemerskı Jablonec;Gemerskı Jablonec;609;BC;;;;;;;;;;;;;;;;;;;;;;;
Gemerskı Sad;Gemerskı Sad;Revúca;049 13;Hucín;Hucín;608;BC;;;;;;;;;;;;;;;;;;;;;;;
Geraltov;Geraltov;Prešov;082 67;Teròa;Teròa;707;PV;;;;;;;;;;;;;;;;;;;;;;;
Gerlachov;Gerlachov;Poprad;059 42;Batizovce;Batizovce;706;PV;;;;;;;;;;;;;;;;;;;;;;;
Gerlachov;Gerlachov;Bardejov;086 04;Krulov;Krulov;701;PV;;;;;;;;;;;;;;;;;;;;;;;
Giglovce;Giglovce;Vranov nad Top¾ou;094 05;Holèíkovce;Holèíkovce;713;PV;;;;;;;;;;;;;;;;;;;;;;;
Giraltovce;Giraltovce;Svidník;087 01;Giraltovce;Giraltovce;712;PV;;;;;;;;;;;;;;;;;;;;;;;
Girovce;Girovce;Vranov nad Top¾ou;094 06;Niná Sitnica;Niná Sitnica;713;PV;;;;;;;;;;;;;;;;;;;;;;;
Glabušovce;Glabušovce;Ve¾kı Krtíš;991 22;Bušince;Bušince;610;BC;;;;;;;;;;;;;;;;;;;;;;;
Goèaltovo;Goèaltovo;Roòava;049 32;Štítnik;Štítnik;808;KI;;;;;;;;;;;;;;;;;;;;;;;
Goèovo;Goèovo;Roòava;049 24;Vlachovo;Vlachovo;808;KI;;;;;;;;;;;;;;;;;;;;;;;
Golianovo;Golianovo;Nitra;951 08;Golianovo;Golianovo;403;NI;;;;;;;;;;;;;;;;;;;;;;;
Gomboš;Gomboš;Košice - okolie;044 55;Ve¾ká Ida;Ve¾ká Ida;806;KI;;;;;;;;;;;;;;;;;;;;;;;
Gortva;Gortva;Rimavská Sobota;980 02;Jesenské;Jesenské;609;BC;;;;;;;;;;;;;;;;;;;;;;;
Gôtovany;Gôtovany;Liptovskı Mikuláš;032 14;¼ube¾a;¼ube¾a;505;ZI;;;;;;;;;;;;;;;;;;;;;;;
Grajciar;Grajciar;Košice - okolie;044 57;Haniska pri Košiciach;Haniska p. Košiciach;806;KI;;;;;;;;;;;;;;;;;;;;;;;
Granè-Petrovce;Granè - Petrovce;Levoèa;053 05;Beharovce;Beharovce;704;PV;;;;;;;;;;;;;;;;;;;;;;;
Gregorova Vieska;Gregorova Vieska;Luèenec;985 56;Tomášovce;Tomášovce;606;BC;;;;;;;;;;;;;;;;;;;;;;;
Gregorovce;Gregorovce;Revúca;982 52;Niná Kaloša;Niná Kaloša;608;BC;;;;;;;;;;;;;;;;;;;;;;;
Gregorovce;Gregorovce;Prešov;082 66;Uzovce;Uzovce;707;PV;;;;;;;;;;;;;;;;;;;;;;;
Gribov;Gribov;Stropkov;090 22;Bukovce;Bukovce;711;PV;;;;;;;;;;;;;;;;;;;;;;;
Gruzovce;Gruzovce;Humenné;067 22;Ohradzany;Ohradzany;702;PV;;;;;;;;;;;;;;;;;;;;;;;
Gyòov;Gyòov;Košice - okolie;044 14;Èaòa;Èaòa;806;KI;;;;;;;;;;;;;;;;;;;;;;;
Habovka;Habovka;Tvrdošín;027 32;Zuberec;Zuberec;510;ZI;;;;;;;;;;;;;;;;;;;;;;;
Habura;Habura;Medzilaborce;067 52;Habura;Habura;705;PV;;;;;;;;;;;;;;;;;;;;;;;
Haèava;Haèava;Košice - okolie;044 02;Turòa nad Bodvou;Turòa nad Bodvou;806;KI;;;;;;;;;;;;;;;;;;;;;;;
Háj;Háj;Turèianske Teplice;039 01;Turèianske Teplice;Turèianske Teplice;509;ZI;;;;;;;;;;;;;;;;;;;;;;;
Háj;Háj;Košice - okolie;044 02;Turòa nad Bodvou;Turòa nad Bodvou;806;KI;;;;;;;;;;;;;;;;;;;;;;;
Hájiky - Maky;Hájiky - Maky;Poltár;987 01;Poltár;Poltár;607;BC;;;;;;;;;;;;;;;;;;;;;;;
Hajná Nová Ves;Hajná Nová Ves;Topo¾èany;956 03;Hajná Nová Ves;Hajná Nová Ves;406;NI;;;;;;;;;;;;;;;;;;;;;;;
Hajnáèka;Hajnáèka;Rimavská Sobota;980 33;Hajnáèka;Hajnáèka;609;BC;;;;;;;;;;;;;;;;;;;;;;;
Hájske;Hájske;Ša¾a;951 33;Hájske;Hájske;405;NI;;;;;;;;;;;;;;;;;;;;;;;
Hajtovka;Hajtovka;Stará ¼ubovòa;065 45;Plavnica;Plavnica;710;PV;;;;;;;;;;;;;;;;;;;;;;;
Haláèovce;Haláèovce;Bánovce nad Bebravou;956 55;Ve¾ké Chlievany;Ve¾ké Chlievany;301;TC;;;;;;;;;;;;;;;;;;;;;;;
Haliè;Haliè;Luèenec;;;Pozri zoz.ulíc s PSÈ;606;BC;;;;;;;;;;;;;;;;;;;;;;;
Haligovce;Haligovce;Stará ¼ubovòa;065 34;Ve¾kı Lipník;Ve¾kı Lipník;710;PV;;;;;;;;;;;;;;;;;;;;;;;
Haluzice;Haluzice;Nové Mesto n.Váhom;913 07;Bošáca;Bošáca;304;TC;;;;;;;;;;;;;;;;;;;;;;;
Hamuliakovo;Hamuliakovo;Senec;900 43;Hamuliakovo;Hamuliakovo;108;BL;;;;;;;;;;;;;;;;;;;;;;;
Handlová;Handlová;Prievidza;;;viï detail SÈ;307;TC;;;;;;;;;;;;;;;;;;;;;;;
Hanigovce;Hanigovce;Sabinov;082 56;Peèovská Nová Ves;Peèovská Nová Ves;708;PV;;;;;;;;;;;;;;;;;;;;;;;
Haniska;Haniska;Košice - okolie;044 57;Haniska pri Košiciach;Haniska p. Košiciach;806;KI;;;;;;;;;;;;;;;;;;;;;;;
Haniska;Haniska;Prešov;080 01;Prešov 1;Prešov 1;707;PV;;;;;;;;;;;;;;;;;;;;;;;
Hanková;Hanková;Roòava;049 34;Markuška;Markuška;808;KI;;;;;;;;;;;;;;;;;;;;;;;
Hankovce;Hankovce;Bardejov;086 46;Hankovce pri Giraltovciach;Hankovce pri Gir.;701;PV;;;;;;;;;;;;;;;;;;;;;;;
Hankovce;Hankovce;Humenné;067 12;Koškovce;Koškovce;702;PV;;;;;;;;;;;;;;;;;;;;;;;
Hanušovce nad Top¾ou;Hanušovce nad Top¾ou;Vranov nad Top¾ou;094 31;Hanušovce nad Top¾ou;Hanušovce nad Top¾ou;713;PV;;;;;;;;;;;;;;;;;;;;;;;
Harakovce;Harakovce;Levoèa;053 05;Beharovce;Beharovce;704;PV;;;;;;;;;;;;;;;;;;;;;;;
Harhaj;Harhaj;Bardejov;086 45;Marhaò;Marhaò;701;PV;;;;;;;;;;;;;;;;;;;;;;;
Harichovce;Harichovce;Spišská Nová Ves;053 01;Harichovce;Harichovce;810;KI;;;;;;;;;;;;;;;;;;;;;;;
Harmanec;Harmanec;Banská Bystrica;976 03;Harmanec;Harmanec;601;BC;;;;;;;;;;;;;;;;;;;;;;;
Hatalov;Hatalov;Michalovce;072 16;Hatalov;Hatalov;807;KI;;;;;;;;;;;;;;;;;;;;;;;
Hatné;Hatné;Povaská Bystrica;018 02;Dolná Mariková;Dolná Mariková;306;TC;;;;;;;;;;;;;;;;;;;;;;;
Havaj;Havaj;Stropkov;090 23;Havaj;Havaj;711;PV;;;;;;;;;;;;;;;;;;;;;;;
Havka;Havka;Kemarok;061 01;Spišská Stará Ves;Spišská Stará Ves;703;PV;;;;;;;;;;;;;;;;;;;;;;;
Havranec;Havranec;Svidník;090 02;Krulová;Krulová;712;PV;;;;;;;;;;;;;;;;;;;;;;;
Haín;Haín;Michalovce;072 34;Zaluice;Zaluice;807;KI;;;;;;;;;;;;;;;;;;;;;;;
Haín nad Cirochou;Haín nad Cirochou;Humenné;067 83;Kamenica nad Cirochou;Kamenica nad Ciroch.;702;PV;;;;;;;;;;;;;;;;;;;;;;;
Halín;Halín;Bardejov;086 14;Halín;Halín;701;PV;;;;;;;;;;;;;;;;;;;;;;;
Helcmanovce;Helcmanovce;Gelnica;055 63;Helcmanovce;Helcmanovce;801;KI;;;;;;;;;;;;;;;;;;;;;;;
He¾pa;He¾pa;Brezno;976 68;He¾pa;He¾pa;603;BC;;;;;;;;;;;;;;;;;;;;;;;
Henckovce;Henckovce;Roòava;049 23;Niná Slaná;Niná Slaná;808;KI;;;;;;;;;;;;;;;;;;;;;;;
Henclová;Henclová;Gelnica;053 33;Nálepkovo;Nálepkovo;801;KI;;;;;;;;;;;;;;;;;;;;;;;
Hencovce;Hencovce;Vranov nad Top¾ou;093 02;Vranov nad Top¾ou 2;Vranov nad Top¾ou 2;713;PV;;;;;;;;;;;;;;;;;;;;;;;
Hendrichovce;Hendrichovce;Prešov;082 35;Hendrichovce;Hendrichovce;707;PV;;;;;;;;;;;;;;;;;;;;;;;
Her¾any;Her¾any;Košice - okolie;044 45;Bidovce;Bidovce;806;KI;;;;;;;;;;;;;;;;;;;;;;;
Hermanovce;Hermanovce;Prešov;082 35;Hendrichovce;Hendrichovce;707;PV;;;;;;;;;;;;;;;;;;;;;;;
Hermanovce nad Top¾ou;Hermanovce n/ Top¾ou;Vranov nad Top¾ou;094 34;Bystré nad Top¾ou;Bystré nad Top¾ou;713;PV;;;;;;;;;;;;;;;;;;;;;;;
Hertník;Hertník;Bardejov;086 42;Hertník;Hertník;701;PV;;;;;;;;;;;;;;;;;;;;;;;
Hervartov;Hervartov;Bardejov;086 22;K¾ušov;K¾ušov;701;PV;;;;;;;;;;;;;;;;;;;;;;;
Hiade¾;Hiade¾;Banská Bystrica;976 61;Slovenská Lupèa;Slovenská Lupèa;601;BC;;;;;;;;;;;;;;;;;;;;;;;
Hincovce;Hincovce;Spišská Nová Ves;053 63;Spišskı Hrušov;Spišskı Hrušov;810;KI;;;;;;;;;;;;;;;;;;;;;;;
Hladovka;Hladovka;Tvrdošín;027 13;Suchá Hora;Suchá Hora;510;ZI;;;;;;;;;;;;;;;;;;;;;;;
Hlboké;Hlboké;Senica;906 31;Senica 1;Senica 1;205;TA;;;;;;;;;;;;;;;;;;;;;;;
Hlboké nad Váhom;Hlboké nad Váhom;Bytèa;014 01;Bytèa 1;Bytèa 1;501;ZI;;;;;;;;;;;;;;;;;;;;;;;
Hliník nad Hronom;Hliník nad Hronom;iar nad Hronom;966 01;Hliník nad Hronom;Hliník nad Hronom;613;BC;;;;;;;;;;;;;;;;;;;;;;;
Hlinné;Hlinné;Vranov nad Top¾ou;;;viï detail SÈ;713;PV;;;;;;;;;;;;;;;;;;;;;;;
Hlivištia;Hlivištia;Sobrance;073 01;Sobrance;Sobrance;809;KI;;;;;;;;;;;;;;;;;;;;;;;
Hlohovec;Hlohovec;Hlohovec;;;Pozri zoz.ulíc s PSÈ;203;TA;;;;;;;;;;;;;;;;;;;;;;;
Hniezdne;Hniezdne;Stará ¼ubovòa;065 01;Hniezdne;Hniezdne;710;PV;;;;;;;;;;;;;;;;;;;;;;;
Hnilèík;Hnilèík;Spišská Nová Ves;053 32;Hnilèík;Hnilèík;810;KI;;;;;;;;;;;;;;;;;;;;;;;
Hnilec;Hnilec;Spišská Nová Ves;053 75;Hnilec;Hnilec;810;KI;;;;;;;;;;;;;;;;;;;;;;;
Hnojné;Hnojné;Michalovce;072 33;Zaluice;Zaluice;807;KI;;;;;;;;;;;;;;;;;;;;;;;
Hnúša;Hnúša;Rimavská Sobota;;;viï detail SÈ;609;BC;;;;;;;;;;;;;;;;;;;;;;;
Hodejov;Hodejov;Rimavská Sobota;980 31;Hodejov;Hodejov;609;BC;;;;;;;;;;;;;;;;;;;;;;;
Hodejovec;Hodejovec;Rimavská Sobota;980 02;Jesenské;Jesenské;609;BC;;;;;;;;;;;;;;;;;;;;;;;
Hodkovce;Hodkovce;Košice - okolie;044 21;Šemša;Šemša;806;KI;;;;;;;;;;;;;;;;;;;;;;;
Hodruša-Hámre;Hodruša - Hámre;arnovica;;;viï detail SÈ;612;BC;;;;;;;;;;;;;;;;;;;;;;;
Hokovce;Hokovce;Levice;935 84;Horné Semerovce;Horné Semerovce;402;NI;;;;;;;;;;;;;;;;;;;;;;;
Holèíkovce;Holèíkovce;Vranov nad Top¾ou;094 05;Holèíkovce;Holèíkovce;713;PV;;;;;;;;;;;;;;;;;;;;;;;
Holiare;Holiare;Komárno;946 16;Bodza;Bodza;401;NI;;;;;;;;;;;;;;;;;;;;;;;
Holice;Holice;Dunajská Streda;930 34;Holice na Ostrove;Holice na Ostrove;201;TA;;;;;;;;;;;;;;;;;;;;;;;
Holíè;Holíè;Skalica;908 51;Holíè 1;Holíè 1;206;TA;;;;;;;;;;;;;;;;;;;;;;;
Holiša;Holiša;Luèenec;985 57;Holiša;Holiša;606;BC;;;;;;;;;;;;;;;;;;;;;;;
Holumnica;Holumnica;Kemarok;059 94;Holumnica;Holumnica;703;PV;;;;;;;;;;;;;;;;;;;;;;;
Honce;Honce;Roòava;049 32;Štítnik;Štítnik;808;KI;;;;;;;;;;;;;;;;;;;;;;;
Hontianska Vrbica;Hontianska Vrbica;Levice;935 55;Hontianska Vrbica;Hontianska Vrbica;402;NI;;;;;;;;;;;;;;;;;;;;;;;
Hontianske Moravce;Hontianske Moravce;Krupina;962 71;Dudince;Dudince;605;BC;;;;;;;;;;;;;;;;;;;;;;;
Hontianske Nemce;Hontianske Nemce;Krupina;962 65;Hontianske Nemce;Hontianske Nemce;605;BC;;;;;;;;;;;;;;;;;;;;;;;
Hontianske Tesáre;Hontianske Tesáre;Krupina;962 68;Hontianske Tesáre;Hontianske Tesáre;605;BC;;;;;;;;;;;;;;;;;;;;;;;
Hontianske Trsany;Hontianske Trsany;Levice;935 86;emberovce;emberovce;402;NI;;;;;;;;;;;;;;;;;;;;;;;
Horòa;Horòa;Sobrance;073 01;Sobrance;Sobrance;809;KI;;;;;;;;;;;;;;;;;;;;;;;
Horná Breznica;Horná Breznica;Púchov;020 61;Lednické Rovne;Lednické Rovne;308;TC;;;;;;;;;;;;;;;;;;;;;;;
Horná Krá¾ová;Horná Krá¾ová;Ša¾a;951 32;Horná Krá¾ová;Horná Krá¾ová;405;NI;;;;;;;;;;;;;;;;;;;;;;;
Horná Krupá;Horná Krupá;Trnava;919 65;Dolná Krupá;Dolná Krupá;207;TA;;;;;;;;;;;;;;;;;;;;;;;
Horná Lehota;Horná Lehota;Dolnı Kubín;027 41;Oravskı Podzámok;Oravskı Podzámok;503;ZI;;;;;;;;;;;;;;;;;;;;;;;
Horná Lehota;Horná Lehota;Brezno;976 81;Podbrezová;Podbrezová;603;BC;;;;;;;;;;;;;;;;;;;;;;;
Horná Mariková;Horná Mariková;Povaská Bystrica;018 03;Horná Mariková;Horná Mariková;306;TC;;;;;;;;;;;;;;;;;;;;;;;
Horná Mièiná;Horná Mièiná;Banská Bystrica;974 01;Banská Bystrica 1;Banská Bystrica 1;601;BC;;;;;;;;;;;;;;;;;;;;;;;
Horná Poruba;Horná Poruba;Ilava;018 35;Horná Poruba;Horná Poruba;302;TC;;;;;;;;;;;;;;;;;;;;;;;
Horná Potôò;Horná Potôò;Dunajská Streda;930 36;Horná Potôò;Horná Potôò;201;TA;;;;;;;;;;;;;;;;;;;;;;;
Horná Potôò - Lúky;Horná Potôò - Lúky;Dunajská Streda;930 52;Blahová;Blahová;201;TA;;;;;;;;;;;;;;;;;;;;;;;
Horná Seè;Horná Seè;Levice;935 31;Dolná Seè;Dolná Seè;402;NI;;;;;;;;;;;;;;;;;;;;;;;
Horná Streda;Horná Streda;Nové Mesto n.Váhom;;;viï detail SÈ;304;TC;;;;;;;;;;;;;;;;;;;;;;;
Horná Strehová;Horná Strehová;Ve¾kı Krtíš;991 02;Dolná Strehová;Dolná Strehová;610;BC;;;;;;;;;;;;;;;;;;;;;;;
Horná Súèa;Horná Súèa;Trenèín;913 33;Horná Súèa;Horná Súèa;309;TC;;;;;;;;;;;;;;;;;;;;;;;
Horná Štubòa;Horná Štubòa;Turèianske Teplice;038 46;Horná Štubòa;Horná Štubòa;509;ZI;;;;;;;;;;;;;;;;;;;;;;;
Horná Ves;Horná Ves;Prievidza;972 48;Horná Ves;Horná Ves;307;TC;;;;;;;;;;;;;;;;;;;;;;;
Horná Ves;Horná Ves;iar nad Hronom;967 01;Kremnica 1;Kremnica 1;613;BC;;;;;;;;;;;;;;;;;;;;;;;
Horná daòa;Horná daòa;iar nad Hronom;966 04;Horná daòa;Horná daòa;613;BC;;;;;;;;;;;;;;;;;;;;;;;
Horòany;Horòany;Trenèín;913 24;Svinná;Svinná;309;TC;;;;;;;;;;;;;;;;;;;;;;;
Horné Dubové;Horné Dubové;Trnava;919 65;Dolná Krupá;Dolná Krupá;207;TA;;;;;;;;;;;;;;;;;;;;;;;
Horné Hámre;Horné Hámre;arnovica;;;viï detail SÈ;612;BC;;;;;;;;;;;;;;;;;;;;;;;
Horné Chlebany;Horné Chlebany;Topo¾èany;956 31;Krušovce;Krušovce;406;NI;;;;;;;;;;;;;;;;;;;;;;;
Horné Lefantovce;Horné Lefantovce;Nitra;951 45;Horné Lefantovce;Horné Lefantovce;403;NI;;;;;;;;;;;;;;;;;;;;;;;
Horné Mladonice;Horné Mladonice;Krupina;962 43;Senohrad;Senohrad;605;BC;;;;;;;;;;;;;;;;;;;;;;;
Horné Mıto;Horné Mıto;Dunajská Streda;930 13;Trhová Hradská;Trhová Hradská;201;TA;;;;;;;;;;;;;;;;;;;;;;;
Horné Naštice;Horné Naštice;Bánovce nad Bebravou;956 41;Uhrovec;Uhrovec;301;TC;;;;;;;;;;;;;;;;;;;;;;;
Horné Obdokovce;Horné Obdokovce;Topo¾èany;;;viï detail SÈ;406;NI;;;;;;;;;;;;;;;;;;;;;;;
Horné Orešany;Horné Orešany;Trnava;919 03;Horné Orešany;Horné Orešany;207;TA;;;;;;;;;;;;;;;;;;;;;;;
Horné Otrokovce;Horné Otrokovce;Hlohovec;920 62;Horné Otrokovce;Horné Otrokovce;203;TA;;;;;;;;;;;;;;;;;;;;;;;
Horné Plachtince;Horné Plachtince;Ve¾kı Krtíš;991 24;Dolné Plachtince;Dolné Plachtince;610;BC;;;;;;;;;;;;;;;;;;;;;;;
Horné Pršany;Horné Pršany;Banská Bystrica;974 05;Banská Bystrica 5;Banská Bystrica 5;601;BC;;;;;;;;;;;;;;;;;;;;;;;
Horné Saliby;Horné Saliby;Galanta;;;viï detail SÈ;202;TA;;;;;;;;;;;;;;;;;;;;;;;
Horné Semerovce;Horné Semerovce;Levice;935 84;Horné Semerovce;Horné Semerovce;402;NI;;;;;;;;;;;;;;;;;;;;;;;
Horné Srnie;Horné Srnie;Trenèín;914 42;Horné Srnie;Horné Srnie;309;TC;;;;;;;;;;;;;;;;;;;;;;;
Horné Strháre;Horné Strháre;Ve¾kı Krtíš;991 03;Pôtor;Pôtor;610;BC;;;;;;;;;;;;;;;;;;;;;;;
Horné Štitáre;Horné Štitáre;Topo¾èany;956 03;Hajná Nová Ves;Hajná Nová Ves;406;NI;;;;;;;;;;;;;;;;;;;;;;;
Horné Trhovište;Horné Trhovište;Hlohovec;920 66;Horné Otrokovce;Horné Otrokovce;203;TA;;;;;;;;;;;;;;;;;;;;;;;
Horné Turovce;Horné Turovce;Levice;935 81;Horné Turovce;Horné Turovce;402;NI;;;;;;;;;;;;;;;;;;;;;;;
Horné Vestenice;Horné Vestenice;Prievidza;972 22;Nitrica;Nitrica;307;TC;;;;;;;;;;;;;;;;;;;;;;;
Horné Zahorany;Horné Zahorany;Rimavská Sobota;980 26;Lukovištia;Lukovištia;609;BC;;;;;;;;;;;;;;;;;;;;;;;
Horné Zelenice;Horné Zelenice;Hlohovec;920 52;Siladice;Siladice;203;TA;;;;;;;;;;;;;;;;;;;;;;;
Hornı Badín;Hornı Badín;Krupina;962 51;Èabradskı Vrbovok;Èabradskı Vrbovok;605;BC;;;;;;;;;;;;;;;;;;;;;;;
Hornı Bar;Hornı Bar;Dunajská Streda;930 33;Hornı Bar;Hornı Bar;201;TA;;;;;;;;;;;;;;;;;;;;;;;
Hornı Hrièov;Hornı Hrièov;ilina;013 42;Dolnı Hrièov;Dolnı Hrièov;511;ZI;;;;;;;;;;;;;;;;;;;;;;;
Hornı Kalník;Hornı Kalník;Martin;038 02;Drakovce pri Martine;Drakovce pri Mart.;506;ZI;;;;;;;;;;;;;;;;;;;;;;;
Hornı Lieskov;Hornı Lieskov;Povaská Bystrica;018 21;Dolnı Lieskov;Dolnı Lieskov;306;TC;;;;;;;;;;;;;;;;;;;;;;;
Hornı Pial;Hornı Pial;Levice;935 37;Dolnı Pial;Dolnı Pial;402;NI;;;;;;;;;;;;;;;;;;;;;;;
Hornı Tisovník;Hornı Tisovník;Detva;962 75;Hornı Tisovník;Hornı Tisovník;604;BC;;;;;;;;;;;;;;;;;;;;;;;
Hornı Vadièov;Hornı Vadièov;Kysucké Nové Mesto;023 45;Hornı Vadièov;Hornı Vadièov;504;ZI;;;;;;;;;;;;;;;;;;;;;;;
Hornı Vinodol;Hornı Vinodol;Nitra;951 06;Vinodol;Vinodol;403;NI;;;;;;;;;;;;;;;;;;;;;;;
Horovce;Horovce;Púchov;020 62;Horovce pri Púchove;Horovce pri Púchove;308;TC;;;;;;;;;;;;;;;;;;;;;;;
Horovce;Horovce;Michalovce;072 02;Tušická Nová Ves;Tušická Nová Ves;807;KI;;;;;;;;;;;;;;;;;;;;;;;
Hoste;Hoste;Galanta;925 45;Abrahám;Abrahám;202;TA;;;;;;;;;;;;;;;;;;;;;;;
Hostice;Hostice;Rimavská Sobota;980 04;Hostice;Hostice;609;BC;;;;;;;;;;;;;;;;;;;;;;;
Hostie;Hostie;Zlaté Moravce;951 94;Hostie;Hostie;407;NI;;;;;;;;;;;;;;;;;;;;;;;
Hostišovce;Hostišovce;Rimavská Sobota;980 23;Teplı Vrch;Teplı Vrch;609;BC;;;;;;;;;;;;;;;;;;;;;;;
Hosová;Hosová;Nitra;951 02;Pohranice;Pohranice;403;NI;;;;;;;;;;;;;;;;;;;;;;;
Hosovce;Hosovce;Zlaté Moravce;951 91;Hosovce;Hosovce;407;NI;;;;;;;;;;;;;;;;;;;;;;;
Hosovce;Hosovce;Košice - okolie;044 02;Turòa nad Bodvou;Turòa nad Bodvou;806;KI;;;;;;;;;;;;;;;;;;;;;;;
Hostovice;Hostovice;Snina;067 35;Pèoliné;Pèoliné;709;PV;;;;;;;;;;;;;;;;;;;;;;;
Hozelec;Hozelec;Poprad;059 11;Poprad 1;Poprad 1;706;PV;;;;;;;;;;;;;;;;;;;;;;;
Hôrka;Hôrka;Poprad;059 12;Hôrka pri Poprade;Hôrka pri Poprade;706;PV;;;;;;;;;;;;;;;;;;;;;;;
Hôrka nad Váhom;Hôrka nad Váhom;Nové Mesto n.Váhom;916 32;Hôrka nad Váhom;Hôrka nad Váhom;304;TC;;;;;;;;;;;;;;;;;;;;;;;
Hôrky;Hôrky;ilina;010 04;ilina 4;ilina 4;511;ZI;;;;;;;;;;;;;;;;;;;;;;;
Hrabièov;Hrabièov;arnovica;966 78;Horné Hámre;Horné Hámre;612;BC;;;;;;;;;;;;;;;;;;;;;;;
Hrabkov;Hrabkov;Prešov;082 33;Chminianska Nová Ves;Chminianska Nová Ves;707;PV;;;;;;;;;;;;;;;;;;;;;;;
Hrabová Roztoka;Hrabová Roztoka;Snina;067 73;Ub¾a;Ub¾a;709;PV;;;;;;;;;;;;;;;;;;;;;;;
Hrabovèík;Hrabovèík;Svidník;089 01;Svidník;Svidník;712;PV;;;;;;;;;;;;;;;;;;;;;;;
Hrabovec;Hrabovec;Bardejov;086 11;Hrabovec;Hrabovec;701;PV;;;;;;;;;;;;;;;;;;;;;;;
Hrabovec nad Laborcom;Hrabovec n/ Laborcom;Humenné;067 01;Radvaò nad Laborcom;Radvaò nad Laborcom;702;PV;;;;;;;;;;;;;;;;;;;;;;;
Hrabovka;Hrabovka;Trenèín;913 32;Dolná Súèa;Dolná Súèa;309;TC;;;;;;;;;;;;;;;;;;;;;;;
Hrabské;Hrabské;Bardejov;086 06;Malcov;Malcov;701;PV;;;;;;;;;;;;;;;;;;;;;;;
Hrabušice;Hrabušice;Spišská Nová Ves;053 15;Hrabušice;Hrabušice;810;KI;;;;;;;;;;;;;;;;;;;;;;;
Hradisko;Hradisko;Kemarok;059 71;¼ubica;¼ubica;703;PV;;;;;;;;;;;;;;;;;;;;;;;
Hradište;Hradište;Partizánske;958 54;Hradište pri Partizánskom;Hradište pri Partiz.;305;TC;;;;;;;;;;;;;;;;;;;;;;;
Hradište;Hradište;Poltár;;;viï detail SÈ;607;BC;;;;;;;;;;;;;;;;;;;;;;;
Hradište pod Vrátnom;Hradište pod Vrátnom;Senica;906 12;Hradište pod Vrátnom;Hradište pod Vrátnom;205;TA;;;;;;;;;;;;;;;;;;;;;;;
